S JACKSON ST,20TH AVE S,Atlantic
MARTIN L KING JR WAY,S KENYON ST,Brighton
NE 20TH ST,NE BEL-RED RD,Eastlake
LAKEMONT BLVD SE,VILLAGE PARK DR SE,View Ridge
NW MARKET ST,NW 48TH ST,Phinney Ridge
W TILDEN ST,29TH AVE W,Lawton Park
RAINIER AVE S,S GRAND ST,Atlantic
BELLEVUE WAY SE,SE 11TH ST,Yesler Terrace
E YESLER WAY,28TH AVE S,Leschi
DELRIDGE WAY SW,SW WEBSTER ST,South Delridge
AIRPT RD,100TH ST SW,Arbor Heights
FRANKLIN AVE E,E MARTIN ST,Portage Bay
ELLIOTT AVE W,4TH AVE W,Lower Queen Anne
MARTIN L KING JR WAY,S EDMUNDS ST,Columbia City
E MADISON ST,13TH AVE,Minor
PRESTON FALL CITY RD,SE 85TH PL,North Beach/Blue Ridge
16TH AVE SW,SW ORCHARD ST,Riverview
124TH AVE NE,NE 5TH ST,Pinehurst
64TH AVE S,S RYAN ST,Rainier Beach
SW ROXBURY ST,28TH AVE SW,Roxhill
AURORA AVE N,N 105TH ST,Haller Lake
S 120TH ST,20TH AVE S,Victory Heights
VIRGINIA ST,9TH AVE,Belltown
W MCGRAW ST,33RD AVE W,Southeast Magnolia
SW ADMIRAL WAY,37TH AVE SW,North Admiral
NE PACIFIC ST,BROOKLYN AVE NE,University District
6TH AVE S,S ROYAL BROUGHAM WAY,Industrial District
FAUNTLEROY WAY SW,SW JUNEAU ST,Fairmount Park
S 250TH ST,15TH AVE S,South Beacon Hill
GRIFFIN AVE,1ST ST,Georgetown
9TH AVE,JEFFERSON ST,Yesler Terrace
NE 75TH ST,46TH AVE NE,View Ridge
FOREST DR SE,HIGHLAND DR,East Queen Anne
MADRONA DR,NEWPORT WAY,Madrona
BEACH DR SW,48TH AVE SW,Gatewood
NE 143RD ST,32ND AVE NE,Olympic Hills
UNIVERSITY BRIDGE,NE 40TH ST,University District
S MYRTLE PL,S HOLLY PK DR,Holly Park
S HENDERSON ST,MARTIN L KING JR WAY,Dunlap
2ND AVE,CEDAR ST,Belltown
23RD AVE E,E JOHN ST,Stevens
1ST AVE S,SW 136TH ST,Broadview
S COLUMBIAN WAY,S OREGON ST,Columbia City
SE 63RD ST,FOREST DR SE,Industrial District
4TH AVE S,S MICHIGAN ST,Georgetown
S JACKSON ST,22ND AVE S,Atlantic
140TH AVE NE,NE 30TH PL,Olympic Hills
QUEEN ANNE AVE N,W CROCKETT ST,East Queen Anne
AUBURN WAY S,FIR ST SE,Yesler Terrace
4TH AVE S,S DAWSON ST,Industrial District
FREMONT AVE N,N 41ST ST,Fremont
DUMAR WAY SW,SW ORCHARD ST,Riverview
124TH AVE NE,NE 145TH PL,Haller Lake
S JACKSON ST,8TH AVE S,Yesler Terrace
NW LEARY WAY,11TH AVE NW,West Woodland
23RD AVE,E UNION ST,Mann
WEST LK SAMMAMISH PK,SE 26TH PL,South Delridge
15TH AVE E,E HARRISON ST,Stevens
CALIFORNIA AVE SW,SW ANDOVER ST,Genesee
SW ATLANTIC ST,44TH AVE SW,North Admiral
MARTIN L KING JR WAY,S DAKOTA ST,Columbia City
AVONDALE RD NE,NE 95TH ST,Maple Leaf
EASTLAKE AVE NE,NE 41ST ST,University District
CALIFORNIA AVE SW,SW LANDER ST,North Admiral
35TH AVE NE,NE 62ND ST,Bryant
EAST MARGINAL WAY S,16TH AVE S,Georgetown
ROOSEVELT WAY NE,8TH AVE NE,Pinehurst
ROOSEVELT WAY NE,NE 63RD ST,Roosevelt
SWIFT AVE S,MARS AVE S,Mid-Beacon Hill
48TH AVE SW,BEACH DR SW,Gatewood
SW AUSTIN ST,DUMAR WAY SW,Riverview
JEFFERSON ST,BROADWAY,Yesler Terrace
STEWART ST,7TH AVE,Belltown
E YESLER WAY,17TH AVE,Minor
RAVENNA AVE NE,RAVENNA PL NE,Ravenna
32ND AVE NW,NW 71ST ST,Sunset Hill
2ND AVE SE,FRONT ST S,Georgetown
E UNION ST,20TH AVE,Minor
NE 65TH ST,RAVENNA AVE NE,Ravenna
HOWELL ST,9TH AVE,Belltown
OLYMPIC WAY W,W LEE ST,West Queen Anne
E YESLER WAY,21ST AVE,Minor
MERIDIAN AVE N,N 120TH ST,Haller Lake
NE 65TH ST,28TH AVE NE,Ravenna
156TH AVE NE,NE 45TH ST,Wallingford
NE 65TH ST,19TH AVE NE,Ravenna
SW 320TH ST,10TH PL SW,North Queen Anne
NE 65TH ST,SAND PT WAY NE,Sand Point
W NICKERSON ST,W EMERSON PL,North Queen Anne
GRANDVIEW PL E,E GALER ST,Stevens
144TH AVE SE,SE 138TH ST,Bitter Lake
S OTHELLO ST,44TH AVE S,Brighton
SWIFT AVE S,16TH AVE S,Mid-Beacon Hill
RICHARDS RD,SE 26TH PL,South Delridge
E PINE ST,BELMONT AVE,Broadway
23RD AVE E,E ALOHA ST,Stevens
MARTIN L KING JR WAY,S JACKSON ST,Leschi
2ND AVE,CHERRY ST,Pioneer Square
E CHERRY ST,33RD AVE,Madrona
S DEARBORN ST,5TH AVE S,International District
Leary Ave NW,20th Ave NW,Adams
SW ADMIRAL WAY,38TH AVE SW,North Admiral
N 35TH ST,TROLL AVE N,Fremont
15TH AVE NW,NW 60TH ST,West Woodland
N 46TH ST,FREMONT AVE N,Fremont
LATONA AVE NE,NE 43RD ST,Wallingford
YESLER WAY,6TH AVE S,Yesler Terrace
NE 100TH ST,4TH AVE NE,Maple Leaf
W GALER ST,3RD AVE W,West Queen Anne
24TH AVE NW,NW 57TH ST,Adams
119TH AVE SE,SE 49TH PL,Rainier Beach
50TH AVE S,S OREGON ST,Seward Park
16TH AVE SW,SW MORGAN ST,Riverview
BELLEVUE WAY SE,MAIN ST,Pioneer Square
NE 45TH ST,SAND PT WAY NE,Laurelhurst
RENTON AVE S,51ST AVE S,Rainier Beach
NE 8TH ST,108TH AVE NE,North Beach/Blue Ridge
BROADWAY E,E ROY ST,Broadway
22ND AVE W,THORNDYKE AVE W,Interbay
BELL ST,7TH AVE,Belltown
S WASHINGTON ST,4TH AVE S,International District
SR 203,STEWART ST,Pike-Market
LINDEN AVE N,N 72ND ST,Phinney Ridge
Eastgate P&R AcRd,140th Ave SE,Haller Lake
CALIFORNIA AVE SW,SW MYRTLE ST,Gatewood
NE 8TH ST,100TH AVE NE,Maple Leaf
11TH AVE NE,NE 45TH ST,University District
15TH AVE NE,NE 125TH ST,Olympic Hills
15TH AVE NE,NE 115TH ST,Victory Heights
148TH AVE SE,SE 55TH ST,Wallingford
BEACON AVE S,S STEVENS ST,North Beacon Hill
SW 356TH ST,1ST AVE S,Georgetown
NORTHSHORE P&R,68TH AVE NE,Green Lake
EAST MARGINAL WAY S,6700 BLOCK,Georgetown
22ND AVE W,GILMAN AVE W,Interbay
DELRIDGE WAY SW,SW ALASKA ST,North Delridge
STATE ST S,10TH AVE S,Montlake
HOLMAN RD NW,9TH AVE NW,Crown Hill
63RD AVE SW,ALKI AVE SW,Alki
AURORA AVE N,N 76TH ST,Green Lake
LINDEN AVE N,N 67TH ST,Phinney Ridge
S 212TH ST,84TH AVE S,Greenwood
S DAWSON ST,54TH AVE S,Seward Park
SW ADMIRAL WAY,39TH AVE SW,North Admiral
NW GILMAN BLVD,17TH AVE NW,Adams
BEACH DR SW,ATLAS PL SW,Seaview
PUGET DR SE,JONES PL SE,North Beach/Blue Ridge
CALIFORNIA AVE SW,SW STEVENS ST,North Admiral
31ST AVE S,S DEARBORN ST,Leschi
9TH AVE,SPRING ST,First Hill
BEACON AVE S,S GRAHAM ST,Mid-Beacon Hill
E UNION ST,13TH AVE,Minor
AURORA AVE N,N 135TH ST,Haller Lake
WEST LK SAMMAMISH PK,SE 40TH PL,Industrial District
MARINE VIEW DR SW,11400 BLOCK,Arbor Heights
8TH AVE S,S KING ST,International District
BOSTON ST,BIGELOW AVE N,East Queen Anne
E MADISON ST,11TH AVE,Minor
AIRPT WAY S,S ADAMS ST,Industrial District
HARBOR AVE SW,30TH AVE SW,Industrial District
SW ADMIRAL WAY,SW STEVENS ST,North Admiral
E PINE ST,12TH AVE,Broadway
UNION AVE SE,SE 3RD PL,Central Business District
BEACON AVE S,S HOLDEN ST,South Beacon Hill
S 320TH ST,MILITARY RD S,Georgetown
19TH AVE E,E HIGHLAND DR,Stevens
236TH ST SW,54TH AVE W,Alki
50TH AVE S,S ANGELINE ST,Seward Park
CONDON WAY W,W HOWE ST,Southeast Magnolia
NE 65TH ST,24TH AVE NE,Ravenna
PRESTON FALL CITY RD,SE DAVID POWELL RD,Mid-Beacon Hill
10TH AVE E,E GALER ST,Broadway
164TH AVE NE,NE 8TH ST,First Hill
RENTON AVE S,S VICTOR ST,Rainier Beach
SAND PT WAY NE,NE WINDERMERE RD,Windermere
THACKERAY PL NE,NE 50TH ST,Wallingford
HOLMAN RD N,GREENWOOD AVE N,Bitter Lake
Issaquah TC AcRd,Newport Way NW,Madrona
GREENWOOD AVE N,N 110TH ST,Bitter Lake
41ST AVE SW,SW ROSE ST,Gatewood
RAINIER AVE S,S ALASKA ST,Columbia City
10TH AVE E,E ROANOKE ST,Portage Bay
CALIFORNIA AVE SW,SW MASSACHUSETTS ST,North Admiral
NE 80TH ST,8TH AVE NE,Roosevelt
PHINNEY AVE N,N 64TH ST,Phinney Ridge
RENTON AVE S,55TH AVE S,Rainier Beach
S GENESEE ST,48TH AVE S,Seward Park
SODO BUSWAY,S HOLGATE ST,Industrial District
5TH AVE NE,NE 106TH ST,Maple Leaf
MADRONA DR,E OLIVE ST,Madrona
W SMITH ST,4TH AVE N,East Queen Anne
GREENWOOD AVE N,N 97TH ST,Greenwood
24TH AVE NW,NW 65TH ST,Loyal Heights
15TH AVE W,W DRAVUS ST,North Queen Anne
HIGHLAND PK WAY SW,7100 BLOCK,Highland Park
61ST AVE NE,60TH AVE NE,Windermere
GOLF DR S,14TH AVE S,North Beacon Hill
28TH AVE W,W MCGRAW ST,Southeast Magnolia
JUANITA WOODINVIL WA,115TH AVE NE,Pinehurst
LEARY WAY NW,3RD AVE NW,Fremont
35TH AVE SW,SW TRENTON ST,Roxhill
NE 143RD ST,130TH AVE NE,Olympic Hills
NE 55TH ST,40TH AVE NE,Bryant
N NORTHGATE WAY,AURORA AVE N,Haller Lake
NE 50TH ST,16TH AVE NE,University District
RAINIER AVE S,MT BAKER TC,Mount Baker
GREENWOOD AVE N,HOLMAN RD N,Bitter Lake
140TH AVE NE,NE 1ST ST,Haller Lake
PIKE ST,6TH AVE,Central Business District
WEST VIEWMONT WAY W,W RUFFNER ST,Briarcliff
E YESLER WAY,BROADWAY,Yesler Terrace
28TH AVE W,W HALLADAY ST,Southeast Magnolia
NE 65TH ST,40TH AVE NE,View Ridge
NE NORTHGATE WAY,3RD AVE NE,Pinehurst
30TH AVE NE,NE 137TH ST,Olympic Hills
W MERCER ST,3RD AVE W,Lower Queen Anne
RAINIER AVE S,CLOVERDALE PL S,Dunlap
NW 85TH ST,28TH AVE NW,North Beach/Blue Ridge
RAVENNA AVE NE,NE 80TH ST,Wedgwood
W MERCER WAY,W MERCER PL,Lower Queen Anne
5TH AVE NE,NE ELK PL,Roosevelt
E JEFFERSON ST,17TH AVE,Minor
SW WILDWOOD PL,46TH AVE SW,Fauntleroy
HOWELL ST,YALE AVE,Broadway
25TH AVE NE,NE 80TH ST,Wedgwood
15TH AVE W,W NEWTON ST,West Queen Anne
LAKEMONT BLVD SE,SE NEWPORT WAY,Madrona
SW MORGAN ST,LANHAM PL SW,High Point
S MYRTLE ST,BEACON AVE S,Holly Park
N 105TH ST,FREMONT AVE N,Bitter Lake
24TH AVE E,E GALER ST,Stevens
10TH AVE W,W FULTON ST,North Queen Anne
MARTIN L KING JR WAY,S GRAHAM ST,Columbia City
35TH AVE SW,SW BARTON ST,Roxhill
SAND PT WAY NE,NE 123RD ST,Cedar Park
MERIDIAN AVE N,N 133RD ST,Haller Lake
140TH AVE NE,NE 61ST ST,Windermere
20TH AVE NE,NE 50TH ST,University District
5TH AVE,SPRING ST,Central Business District
LK CITY WAY NE,20TH AVE NE,Wedgwood
NE 197TH ST,42ND AVE NE,Laurelhurst
MADISON ST,9TH AVE,First Hill
26TH AVE SW,SW BARTON ST,Roxhill
10TH AVE W,W GALER ST,West Queen Anne
HIGHLAND PK WAY SW,2ND AVE SW,South Park
DELRIDGE WAY SW,SW HOLLY ST,Riverview
22ND AVE SW,23RD AVE SW,North Delridge
BOEING ACS,SW 16TH ST,Whittier Heights
148TH AVE NE,NE 31ST ST,Laurelhurst
DEXTER AVE N,DENNY WAY,South Lake Union
35TH AVE SW,SW WEBSTER ST,Roxhill
94TH ST SW,29TH AVE W,Southeast Magnolia
BEACON AVE S,S DAWSON ST,Mid-Beacon Hill
NE RAVENNA BLVD,PARK RD NE,University District
RENTON AVE S,52ND AVE S,Rainier Beach
SR 520,NE 51ST ST,Wallingford
NE 65TH ST,WELLESLEY WAY NE,View Ridge
NE 75TH ST,17TH AVE NE,Roosevelt
AURORA AVE N,N 91ST ST,North College Park
24TH AVE NW,NW 95TH ST,North Beach/Blue Ridge
LK CITY WAY NE,NE 130TH ST,Cedar Park
32ND AVE NW,NW 72ND ST,Sunset Hill
3RD AVE NW,NW 115TH ST,Broadview
LATONA AVE NE,NE 40TH ST,Wallingford
N 45TH ST,STONE WAY N,Wallingford
NE 85TH ST,35TH AVE NE,Wedgwood
19TH AVE E,E GALER ST,Stevens
NE 80TH ST,RAVENNA AVE NE,Wedgwood
BROADWAY E,E THOMAS ST,Broadway
AIRPT WAY S,S HILL ST,Industrial District
12TH AVE S,S JACKSON ST,Atlantic
BEACH DR SW,SW CHARLESTOWN ST,Alki
SODO BUSWAY,S SPOKANE ST,Industrial District
12TH AVE S,S MASSACHUSETTS ST,North Beacon Hill
LK CITY WAY NE,NE 98TH ST,Meadowbrook
AURORA AVE N,GALER ST,Westlake
BAKER ST,3RD AVE,Fremont
S DEARBORN ST,CORWIN PL S,International District
STATE AVE N,E SMITH ST,Southeast Magnolia
12TH AVE S,S WELLER ST,International District
S COLUMBIAN WAY,15TH AVE S,North Beacon Hill
8TH AVE NW,NW 85TH ST,Greenwood
NE 45TH ST,36TH AVE NE,Bryant
57TH AVE S,WATERS AVE S,Rainier Beach
E PINE ST,BELLEVUE AVE,Broadway
SW AVALON WAY,SW GENESEE ST,North Delridge
50TH AVE S,S FERDINAND ST,Seward Park
N 45TH ST,SUNNYSIDE AVE N,Wallingford
ELLIOTT AVE W,6TH AVE W,Lower Queen Anne
WILSON AVE S,S BRANDON ST,Seward Park
10TH AVE W,W NEWELL ST,North Queen Anne
NE 55TH ST,36TH AVE NE,Bryant
NW 103RD ST,3RD AVE NW,Greenwood
164TH AVE SE,LAKEMONT BLVD SE,View Ridge
NE 80TH ST,ROOSEVELT WAY NE,Roosevelt
SW ALASKA ST,CALIFORNIA AVE SW,Genesee
INTERLAKEN TURNBA LO,19TH AVE E,University District
SR 169,S SUMMIT DR,Broadway
MADISON ST,4TH AVE,Central Business District
RENTON AVE S,S 116TH PL,Rainier View
NE 65TH ST,23RD AVE NE,Ravenna
35TH AVE SW,SW HOLDEN ST,Roxhill
E MADISON ST,LK WASHINGTON BLVD,Harrison/Denny-Blaine
NE 75TH ST,11TH AVE NE,Roosevelt
BEACON AVE S,S MYRTLE ST,Holly Park
NE 45TH ST,7TH AVE NE,University District
LATONA AVE NE,NE 60TH ST,Green Lake
10TH AVE E,E MILLER ST,Montlake
RAVENNA AVE NE,NE 92ND ST,Wedgwood
MARTIN L KING JR WAY,S ORCAS ST,Columbia City
NEWPORT WAY NW,NW OAK CREST DR,View Ridge
ROOSEVELT WAY NE,NE 75TH ST,Roosevelt
N 90TH ST,GREENWOOD AVE N,Greenwood
2 AVE EXT S,S JACKSON ST,International District
DELRIDGE WAY SW,SW KENYON ST,South Delridge
NE 75TH ST,55TH AVE NE,View Ridge
105TH AVE SE,SE 29TH ST,Harrison/Denny-Blaine
SW 100TH ST,42ND AVE SW,Arbor Heights
8TH AVE SW,SW 104TH ST,Maple Leaf
63RD AVE SW,BEACH DR SW,Alki
AURORA AVE N,N 46TH ST,Wallingford
48TH AVE SW,SW HOLLY ST,Seaview
DELRIDGE WAY SW,SW BARTON ST,South Delridge
23RD AVE S,E YESLER WAY,Mann
WEST LK SAMMAMISH PK,SE 31ST PL,Columbia City
32ND AVE NW,8200 BLOCK,Sunset Hill
1ST AVE S,S 136TH ST,Broadview
NORTHUP WAY,130TH AVE NE,Olympic Hills
NE BOTHELL WAY,96TH AVE NE,Maple Leaf
4TH AVE S,S FOREST ST,Industrial District
116TH AVE NE,NE 124TH ST,Pinehurst
NE 8TH ST,102ND AVE NE,Maple Leaf
NE 85TH ST,40TH AVE NE,Wedgwood
N 40TH ST,WALLINGFORD AVE N,Wallingford
EAST GREEN LK DR N,LATONA AVE NE,Green Lake
MARKET ST,10TH AVE,Broadway
BOREN AVE,JAMES ST,Yesler Terrace
UNIVERSITY WAY NE,NE 41ST ST,University District
BROAD ST,2ND AVE,Belltown
FAIRVIEW AVE N,HARRISON ST,South Lake Union
HORIZON VIEW,45TH AVE NE,Laurelhurst
SW 342ND ST,38TH PL SW,Arbor Heights
8TH AVE NW,NW 97TH ST,Greenwood
BOREN AVE,MADISON ST,First Hill
NW MARKET ST,5TH AVE NW,West Woodland
5TH AVE NE,NE 92ND ST,Maple Leaf
2ND AVE,BELL ST,Belltown
25TH AVE SW,SW BARTON ST,South Delridge
NW 100TH PL,8TH AVE NW,Maple Leaf
W TILDEN ST,28TH AVE W,Lawton Park
MARION ST,4TH AVE,Central Business District
N 130TH ST,LINDEN AVE N,Bitter Lake
PUGET DR SE,SE 16TH PL,North Delridge
MARTIN L KING JR WAY,E MARION ST,Madrona
ISSAQUAH PINE LK RD ,SE 40TH PL,Industrial District
30TH AVE NE,NE 133RD ST,Olympic Hills
WOODLAWN AVE NE,LATONA AVE NE,Green Lake
NE 65TH ST,38TH AVE NE,Bryant
WILSON AVE S,S FINDLAY ST,Seward Park
YESLER WAY,8TH AVE S,Yesler Terrace
LIND AVE SW,SW 41ST ST,Gatewood
LEA HILL RD SE,106TH PL SE,Meadowbrook
SOMERSET BLVD SE,143RD AVE SE,Olympic Hills
PHINNEY AVE N,N 54TH ST,Phinney Ridge
15TH AVE NE,NE 98TH ST,Victory Heights
15TH ST SW,O ST SW,Victory Heights
LATONA AVE NE,NE 57TH ST,Wallingford
10TH AVE W,W BOTHWELL ST,North Queen Anne
BEACH DR SW,5600 BLOCK,Seaview
RENTON AVE S,S FLETCHER ST,Dunlap
E JOHN ST,15TH AVE E,Stevens
SW 320TH ST,47TH AVE SW,Fauntleroy
MT RANIER DR S,S HANFORD ST,Mount Baker
S ALASKA ST,S ALASKA PL,Columbia City
LEARY WAY NW,8TH AVE NW,Fremont
123RD AVE SE,SE 17TH PL,Victory Heights
2ND AVE,SENECA ST,Central Business District
SAND PT WAY NE,NE 77TH ST,Sand Point
KENT DES MOINES RD,21ST AVE S,Mid-Beacon Hill
42ND AVE NE,NE 45TH ST,Laurelhurst
W MERCER WAY,SE 32ND ST,Harrison/Denny-Blaine
PINE ST,4TH AVE,Central Business District
FAUNTLEROY WAY SW,SW OREGON ST,Fairmount Park
15TH AVE E,E THOMAS ST,Stevens
BROADWAY,E PIKE ST,Broadway
15TH AVE NE,NE 45TH ST,University District
S JACKSON ST,5TH AVE S,International District
35TH AVE NE,NE 75TH ST,Wedgwood
E UNION ST,33RD AVE,Madrona
S 320TH ST,1ST AVE S,Georgetown
MARTIN L KING JR WAY,E CHERRY ST,Madrona
CALIFORNIA AVE SW,SW RAYMOND ST,Fairmount Park
AIRPT WAY S,S ANDOVER ST,Industrial District
CALIFORNIA AVE SW,SW FINDLAY ST,Fairmount Park
1ST AVE S,S HANFORD ST,Industrial District
19TH AVE,E DENNY WAY,Stevens
LK YOUNGS WAY SE,JEFFERSON CT SE,University District
WILSON AVE S,S DAWSON ST,Seward Park
STEVENS WAY,BENTON LN,University District
14TH AVE S,S HOLGATE ST,North Beacon Hill
STRANDER BLVD,ANDOVER PARK W,Laurelhurst
AVONDALE RD NE,NE 140TH PL,Haller Lake
1ST AVE S,SW CAMPUS DR,Central Business District
24TH AVE S,S NORMAN ST,Atlantic
NE 40TH ST,LATONA AVE NE,Wallingford
180TH AVE NE,NE 68TH ST,Green Lake
SE 34TH ST,111TH AVE SE,Arbor Heights
S MYRTLE PL,32ND AVE S,Holly Park
14TH AVE S,S MASSACHUSETTS ST,North Beacon Hill
NE 42ND ST,8TH AVE NE,University District
SENECA ST,BOREN AVE,First Hill
MERIDIAN AVE N,N 140TH ST,Haller Lake
SE CARR RD,106TH PL SE,Meadowbrook
NE 65TH ST,26TH AVE NE,Ravenna
MARKET ST,12TH AVE,Atlantic
MERIDIAN AVE N,N 54TH ST,Wallingford
AVONDALE RD NE,NE 104TH ST,Maple Leaf
124TH AVE NE,NE 140TH ST,Haller Lake
15TH AVE E,E MERCER ST,Stevens
49TH AVE SW,SW HINDS ST,North Admiral
W NICKERSON ST,W EMERSON ST,North Queen Anne
124TH AVE NE,NE 116TH ST,Pinehurst
RAVENNA AVE NE,NE 85TH ST,Wedgwood
15TH AVE NE,NE 140TH ST,Olympic Hills
166TH AVE NE,NE 87TH ST,Wedgwood
S COLUMBIAN WAY,VA HOSPITAL RD,North Beacon Hill
51ST AVE S,S GAZELLE ST,Rainier Beach
EAST MARGINAL WAY S,DIAGONAL AVE S,Industrial District
156TH AVE NE,NE 15TH PL,North Queen Anne
S 170TH ST,MILITARY RD S,Georgetown
148TH AVE NE,NE 61ST WAY,Windermere
BROOKLYN AVE NE,NE CAMPUS PKWY,University District
DEXTER AVE N,DEXTER WAY N,East Queen Anne
N 45TH ST,WOODLAWN AVE N,Wallingford
SW HENDERSON ST,16TH AVE SW,Highland Park
AUBURN WAY S,12TH ST SE,University District
24TH AVE E,E CALHOUN ST,Montlake
NE 45TH ST,45TH AVE NE,Laurelhurst
S HENDERSON ST,RAINIER AVE S,Dunlap
BEACON AVE S,S THISTLE ST,South Beacon Hill
32ND AVE NW,NW 60TH ST,Adams
31ST AVE S,S DAY ST,Mount Baker
23RD AVE,E JEFFERSON ST,Mann
PIKE ST,BOREN AVE,First Hill
AIRPT WAY S,S STEVENS ST,Industrial District
SR 203,NE 145TH ST,Haller Lake
179TH AVE NE,NE 108TH WAY,Meadowbrook
SAND PT WAY NE,MATHEWS AVE NE,Matthews Beach
16TH AVE SW,SW CLOVERDALE ST,Highland Park
E JEFFERSON ST,18TH AVE,Minor
FRONT ST N,NW HOLLY ST,Holly Park
NE 80TH ST,18TH AVE NE,Roosevelt
NE 65TH ST,55TH AVE NE,View Ridge
MERIDIAN AVE N,N 50TH ST,Wallingford
EAST LK SAMMAMISH PK,SE 56TH ST,Rainier View
15TH AVE S,S ANGELINE ST,Mid-Beacon Hill
S 120TH ST,23RD AVE S,Victory Heights
MAIN AVE S,S 2ND ST,Pioneer Square
N 36TH ST,DAYTON AVE N,Fremont
NE 65TH ST,37TH AVE NE,Bryant
DENNY WAY,FAIRVIEW AVE N,South Lake Union
W GOVERNMENT WAY,29TH AVE W,Interbay
30TH AVE NE,NE 143RD ST,Olympic Hills
28TH AVE W,W RAYE ST,Southeast Magnolia
35TH AVE NE,NE 68TH ST,Bryant
W MEEKER ST,WASHINGTON AVE N,University District
BROADWAY E,E HARRISON ST,Broadway
SW GENESEE ST,51ST AVE SW,Genesee
HIGHLANDS DR NE,NE ELLIS DR,Georgetown
49TH AVE NE,38TH ST NE,Laurelhurst
W MEEKER ST,WASHINGTON AVE S,University District
EAST MARGINAL WAY S,S LUCILE ST,Georgetown
SW MORGAN ST,40TH AVE SW,Gatewood
CALIFORNIA AVE SW,SW CHARLESTOWN ST,North Admiral
40TH AVE NE,NE 51ST ST,Bryant
4TH AVE SW,SW 115TH ST,Pinehurst
15TH AVE NW,NW 70TH ST,Whittier Heights
35TH AVE SW,SW THISTLE ST,Roxhill
S MYRTLE ST,32ND AVE S,Holly Park
LK CITY WAY NE,NE 120TH ST,Cedar Park
SEWARD PK AVE S,S MYRTLE ST,Seward Park
SE 260TH ST,143RD AVE SE,Olympic Hills
N 85TH ST,GREENWOOD AVE N,Greenwood
121ST AVE SE,SE 8TH ST,First Hill
15TH AVE NW,NW 92ND ST,Crown Hill
EAST LAURELHURST DR ,47TH AVE NE,Laurelhurst
NE 75TH ST,50TH AVE NE,View Ridge
FREMONT AVE N,N 34TH ST,Fremont
ROOSEVELT WAY NE,NE 103RD ST,Maple Leaf
ALASKAN WAY,MADISON ST,Central Business District
15TH AVE W,W ARMOUR ST,North Queen Anne
NE 132ND ST,120TH AVE NE,Victory Heights
NE NORTHGATE WAY,15TH AVE NE,Victory Heights
NW MARKET ST,NW 50TH ST,Phinney Ridge
PINE ST,5TH AVE,Central Business District
3RD AVE,BELL ST,Belltown
S ALBRO PL,STANLEY AVE S,South Beacon Hill
LEARY AVE NW,NW VERNON PL,Adams
WATERS AVE S,62ND AVE S,Rainier Beach
WILLOWS RD NE,NE 102ND ST,Maple Leaf
SENECA ST,3RD AVE,Central Business District
NW LEARY WAY,15TH AVE NW,West Woodland
19TH AVE E,E MERCER ST,Stevens
35TH AVE SW,SW DAWSON ST,North Delridge
SW THISTLE ST,34TH AVE SW,Roxhill
JUANITA WOODINVIL WA,NE 145TH ST,Haller Lake
4TH AVE S,S BRANDON ST,Industrial District
NE 137TH ST,20TH AVE NE,Olympic Hills
E SMITH ST,STATE AVE N,University District
NE 75TH ST,20TH AVE NE,Ravenna
LOYAL WAY NW,NW 85TH ST,North Beach/Blue Ridge
SW ADMIRAL WAY,59TH AVE SW,Alki
GILMAN AVE W,28TH PL W,Interbay
OLYMPIC WAY W,9TH AVE W,West Queen Anne
25TH AVE NE,NE 70TH ST,Ravenna
10TH AVE W,W BLAINE ST,West Queen Anne
4TH AVE S,S SPOKANE ST,Industrial District
64TH AVE S,S COOPER ST,Rainier Beach
S PLUM ST,25TH AVE S,Atlantic
1ST AVE,YESLER WAY,Pioneer Square
ROOSEVELT WAY NE,NE 42ND ST,University District
I-5,5TH AVE NE,University District
41ST ST SE,A ST SE,University District
MARION ST,2ND AVE,Central Business District
23RD AVE,E CHERRY ST,Mann
35TH AVE SW,SW 108TH ST,Arbor Heights
1ST AVE S,SW 140TH ST,Broadview
EASTLAKE AVE E,NE 40TH ST,University District
RAINIER AVE S,S WALKER ST,Atlantic
DEXTER AVE N,CROCKETT ST,East Queen Anne
GREENWOOD AVE N,N 112TH ST,Bitter Lake
148TH AVE NE,NE 66TH ST,Roosevelt
SW IDA ST,CALIFORNIA AVE SW,Gatewood
GREENWOOD AVE N,N 143RD ST,Bitter Lake
DENNY WAY,1ST AVE N,Lower Queen Anne
SW 100TH ST,39TH AVE SW,Arbor Heights
35TH AVE SW,SW 98TH ST,Arbor Heights
SW THISTLE ST,41ST AVE SW,Gatewood
30TH AVE W,W THURMAN ST,Lawton Park
35TH AVE SW,SW KENYON ST,Roxhill
S MASSACHUSETTS ST,14TH AVE S,North Beacon Hill
SW THISTLE ST,35TH AVE SW,Roxhill
E SUNSET WAY,1ST AVE NE,Wallingford
34TH AVE,E PINE ST,Madrona
MADRONA DR,MADRONA PL E,Harrison/Denny-Blaine
BEACON AVE S,S SPOKANE ST,North Beacon Hill
SW ALASKA ST,42ND AVE SW,Genesee
4TH AVE S,4300 BLOCK,Industrial District
NE 4TH ST,UNION AVE NE,Central Business District
N 40TH ST,BAGLEY AVE N,Wallingford
131ST AVE NE,NE 33RD ST,Laurelhurst
NW 54TH ST,NW MARKET ST,Adams
35TH AVE SW,37TH AVE SW,Arbor Heights
S LANDER ST,SODO BUSWAY ACS,Industrial District
